English;Português;简体中文;繁體中文
Air Monk;Monge do Ar;风相僧侣;風相僧侶
Everytime <style="Yellow">Immolate</style> hits an enemy they get <style="Blue">knocked back</style>;Sempre que uma <style="Yellow">Onda Imolante</style> atinge um inimigo eles será <style="Blue">empurrados</style>;<style="Yellow"> 献祭</style> 技能命中敌人时，敌人会被 <style="Blue"> 击退</style>;<style="Yellow"> 獻祭</style> 技能命中敵人時，敵人會被 <style="Blue"> 擊退</style>
Ember Generation;Geração de Brasas;余烬生成;餘燼生成
Monk;Monge;僧侣;僧侶
Choose an Element to Master;Escolhe um Elemento para Dominares;选择一种元素专精;選擇一種元素專精
Clown;Palhaço;小丑;小丑
Every time you pick a <style="LYellow">gambling augment</style>, a random <style="Orange">buff/debuff</style> will be applied for <style="LYellow">5 rounds</style> or until another gamble is done. Gain <style="LYellow">+5<style="Green"> Luck </style></style>for every gamble and loose<style="LYellow"> -10</style> every time you don't;Sempre que escolheres um <style="LYellow">aumento de aposta</style>, uma <style="Orange">vantagem/desvantagem</style> aleatória será aplicada por <style="LYellow">5 rondas</style> ou até que outra aposta seja feita. Ganha <style="LYellow">+5</style> de <style="Green">Sorte </style>por cada aposta e perde<style="LYellow"> -10</style> sempre que não o fizeres.;每次选择<style="LYellow">幸运博弈强化</style>时，将随机获得一个<style="Orange">增益/减益</style>效果，持续<style="LYellow">5回合</style>或直到再次博弈。每次博弈成功<style="LYellow">+5点<style="Green">幸运值</style></style>，若未参与博弈则<style="LYellow">-10点</style>幸运值;每次選擇<style="LYellow">幸運博弈強化</style>時，將隨機獲得一個<style="Orange">增益/減益</style>效果，持續<style="LYellow">5回合</style>或直到再次博弈。每次博弈成功<style="LYellow">+5點<style="Green">幸運值</style></style>，若未參與博弈則<style="LYellow">-10點</style>幸運值
Each time a <style="LYellow">Lava Pools</style> deals damage it will melt <style="LYellow">2%</style> of the enemy's <style="Grey">armor;Cada vez que uma <style="LYellow">Poça de Lava</style> causar dano, ela derreterá <style="LYellow">2%</style> da <style="Grey">armadura</style> do inimigo</style>;<style="LYellow">熔岩池</style>产生灼烧伤害时，敌人<style="Grey">护甲</style><style="LYellow">-2%</style>;<style="LYellow">熔岩池</style>產生灼燒傷害時，敵人<style="Grey">護甲</style><style="LYellow">-2%</style>
<style="LYellow">Orbital<style="Red"> damage</style></style> doubles with each consecutive kill. If it hits an enemy without killing it, the <style="Red">damage</style> resets. When below <style="LYellow">25% <style="Green">Max HP</style></style> the damage triples instead of doubling;O <style="Red">dano<style="LYellow"> Orbital</style></style> duplica a cada morte consecutiva. Se atingir um inimigo sem matá-lo, o <style="Red">dano</style> é reposto. Quando abaixo de <style="LYellow">25% <style="Green">Vida Máxima</style></style>, o dano triplica em vez de duplicar.;<style="LYellow">轨道<style="Red">伤害</style></style>随每次连续击杀而翻倍。若未击杀目标，则<style="Red">伤害</style>重置。当生命值低于<style="LYellow">25%<style="Green">最大生命值</style></style>时，伤害提升至三倍;<style="LYellow">軌道<style="Red">傷害</style></style>隨每次連續擊殺而翻倍。若未擊殺目標，則<style="Red">傷害</style>重設。當生命值低於<style="LYellow">25%<style="Green">最大生命值</style></style>時，傷害提升至三倍
#;;;
#;;;
#=========================== ANIMALS ===========================#;;;
ABILITIES;HABILIDADES;技能;技能
MILESTONES;MARCOS;里程碑;里程碑
STATS;ESTATÍSTICAS;属性;屬性
Claim Rewards;Reclamar Recompensas;领取奖励;領取獎勵
Slug;Lesma;蛞蝓;蛞蝓
Caterpillar;Lagarta;毛毛虫;毛毛蟲
Spider;Aranha;蜘蛛;蜘蛛
Worm;Minhoca;蚯蚓;蚯蚓
Beatle;Besouro;甲虫;甲蟲
Grasshoper;Gafanhoto;蚱蜢;蚱蜢
Snail;Caracol;蜗牛;蝸牛
Bunny;Coelho;兔子;兔子
Squirrel;Esquilo;松鼠;松鼠
Hedgehog;Ouriço;刺猬;刺蝟
Raccoon;Guaxinim;浣熊;浣熊
Turtle;Tartaruga;乌龟;烏龜
Skunk;Doninha;臭鼬;臭鼬
Hog;Javali;野猪;野豬
Frog;Sapo;青蛙;青蛙
Snake;Cobra;蛇;蛇
Wolf;Lobo;狼;狼
Bear;Urso;熊;熊
Stray Wolf;Lobo Vadio;流浪狼;流浪狼
Alligator;Jacaré;短吻鳄;短吻鱷
Bison;Bisonte;野牛;野牛
Moose;Alce;驼鹿;駝鹿
Musk Ox;Boi Almiscarado;麝牛;麝牛
Mole;Toupeira;鼹鼠;鼴鼠
Scorpion;Escorpião;蝎子;蠍子
Armadillo;Tatu;犰狳;犰狳
Beaver;Castor;海狸;海狸
Flying Squirrel;Esquilo Voador;鼯鼠;鼯鼠
Venomous Snake;Cobra Venenosa;毒蛇;毒蛇
<size=100%><style="Yellow">- Burrow -</style><br><size=80%>Start the round <style="Orange">burrowed</style> underground. While <style="Orange">burrowed</style>, become <style="Blue">untargetable</style> and <style="Blue">immune</style> to damage. These animals will come out on their own;<size=100%><style="Yellow">- Escavador -</style><br><size=80%>Começa a ronda <style="Orange">enterrado</style> no subsolo. Enquanto <style="Orange">enterrado</style>, torna-se <style="Blue">inatingível</style> e <style="Blue">imune</style> a dano. Estes animais sairão da terra por si próprios;<size=100%><style="Yellow">- 潜身地洞 -</style><br><size=80%> 在回合开始时 <style="Orange"> 钻入</style> 地下。在处于 <style="Orange"> 钻入地下</style> 状态时，<style="Blue"> 无法被瞄准</style> 且 对伤害<style="Blue"> 免疫</style> 。这些动物会自行出现。;<size=100%><style="Yellow">- 潛身地洞 -</style><br><size=80%> 在回合開始時 <style="Orange"> 鑽入</style> 地下。在處於 <style="Orange"> 鑽入地下</style> 狀態時，<style="Blue"> 無法被瞄準</style> 且 對傷害<style="Blue"> 免疫</style> 。這些動物會自行出現。
<size=100%><style="Yellow">- Surround -</style><br><size=80%>This animal moves around the campfire, enclosing it, instead of taking a straight path;<size=100%><style="Yellow">- Cercar -</style><br><size=80%>Este animal move-se à volta da lareira, cercando-a, em vez de seguir um caminho direto;<size=100%><style="Yellow">- 环绕 -</style><br><size=80%> 这种动物会围绕着营火移动并将其围住，而不是沿直线行进;<size=100%><style="Yellow">- 環繞 -</style><br><size=80%> 這種動物會圍繞著營火移動並將其圍住，而不是沿直線行進
<size=100%><style="Yellow">- Dung Roller -</style><br><size=80%>This animal is an expert at rolling <style="Brown">Dung Balls.</style> The more they roll the more the balls grow. Once in range, the Dung Ball will be shot at the campfire dealing <style="Red">+50 dmg.;<size=100%><style="Yellow">- Rola Estrume -</style><br><size=80%>Este animal é um especialista em rolar <style="Brown">Bolas de Estrume</style>, que ficam maiores à medida que rolam. Quando estiver no alcançe, a Bola de Estrume será lançada à lareira causando <style="Red">+50 dano.</style>;<size=100%><style="Yellow">- 滚粪球者 -</style><br><size=80%> 这种动物是滚动 <style="Brown"> 粪球</style> 的专家。它们滚得越久，粪球就越大。一旦进入范围，粪球会被射向营火，造成<style="Red">+50伤害</style>;<size=100%><style="Yellow">- 滾糞球者 -</style><br><size=80%> 這種動物是滾動 <style="Brown"> 糞球</style> 的專家。它們滾得越久，糞球就越大。一旦進入範圍，糞球會被射向營火，造成<style="Red">+50傷害</style>
<size=100%><style="Yellow">- Hop -</style><br><size=80%>This animal hops around instead of having a consistent movement speed;<size=100%><style="Yellow">- Saltar -</style><br><size=80%>Este animal salta em vez de ter uma velocidade de movimento consistente;<size=100%><style="Yellow">- 弹跳 -</style><br><size=80%>该生物通过弹跳移动，而非保持匀速运动;<size=100%><style="Yellow">- 彈跳 -</style><br><size=80%>該生物通過彈跳移動，而非保持勻速運動
<size=100%><style="Yellow">- Explosive Acorn -</style><br><size=80%>This animal sets up <style="Brown">explosive acorns</style> and runs away. If it get out of sight before it dies the <style="Brown">acorn</style> will detonate, dealing <style="Red">+25 dmg.;<size=100%><style="Yellow">- Bolota Explosiva -</style><br><size=80%>Este animal coloca <style="Brown">bolotas explosivas</style> e foge. Se sair de vista antes de morrer, a <style="Brown">bolota</style> irá detonar, causando <style="Red">+25 dano.</style>;<size=100%><style="Yellow">- 爆炸橡果 -</style><br><size=80%> 这种动物会放置<style="Brown"> 爆炸橡果</style> 然后逃离。如果它在死亡前脱离视线范围，<style="Brown"> 橡果</style> 就会爆炸，造成 <style="Red">+25 点伤害</style>;<size=100%><style="Yellow">- 爆炸橡果 -</style><br><size=80%> 這種動物會放置<style="Brown"> 爆炸橡果</style> 然後逃離。如果它在死亡前脫離視線範圍，<style="Brown"> 橡果</style> 就會爆炸，造成 <style="Red">+25 點傷害</style>
<size=100%><style="Yellow">- Thorns -</style><br><size=80%>After getting in range, this animal will cover itself, becoming <style="Yellow">Unhittable</style> and dealing <style="Red">+15 dmg</style> when it gets struck by <style="Pink">On-Hit Effects;<size=100%><style="Yellow">- Espinhos -</style><br><size=80%>Após se aproximar, este animal irá se cobrir, tornando-se <style="Yellow">Inatingível</style> e causando <style="Red">+15 dano</style> quando atingido por <style="Pink">Efeitos de Contacto.</style>;<size=100%><style="Yellow">- 尖刺 -</style><br><size=80%> 进入射程后，这种动物会蜷缩起来护住自己，变得 <style="Yellow"> 无法被击中</style>，并且当它受到 <style="Pink"> 命中效果</style> 攻击时会造成 <style="Red">+15 点伤害</style>;<size=100%><style="Yellow">- 尖刺 -</style><br><size=80%> 進入射程後，這種動物會蜷縮起來護住自己，變得 <style="Yellow"> 無法被擊中</style>，並且當它受到 <style="Pink"> 命中效果</style> 攻擊時會造成 <style="Red">+15 點傷害</style>
<size=100%><style="Yellow">- Unhittable -</style><br><size=80%>This animal can be immune to <style="Pink">On-Hit Effects</style> <style="LGrey">(except for Armor Penetration);<size=100%><style="Yellow">- Inatingível -</style><br><size=80%>Este animal pode ser imune a <style="Pink">Efeitos de Contacto</style> <style="LGrey">(exceto Penetração de Armadura).</style>;<size=100%><style="Yellow">- 免疫打击 -</style><br><size=80%> 这种动物可以免疫 <style="Pink"> 命中效果</style> <style="LGrey">(护甲穿透效果除外)</style>;<size=100%><style="Yellow">- 免疫打擊 -</style><br><size=80%> 這種動物可以免疫 <style="Pink"> 命中效果</style> <style="LGrey">(護甲穿透效果除外)</style>
<size=100%><style="Yellow">- Thief -</style><br><size=80%>This animal has different goals in mind. Instead of trying to damage you, it will <style="Orange">steal</style> <style="LYellow">+100 embers.</style> You can recover them by killing it before it gets out of sight;<size=100%><style="Yellow">- Ladrão -</style><br><size=80%>Este animal tem objetivos diferentes. Em vez de tentar causar dano, ele irá <style="Orange">roubar</style> <style="LYellow">+100 brasas.</style> Poderás recuperá-las ao matar o Ladrão antes que saia de vista.</style>;<size=100%><style="Yellow">- 小偷 -</style><br><size=80%>这种动物目的不一样。它不会伤害你，而是会<style="Orange">偷取</style><style="LYellow">+100余烬</style>。你可以在它离开视野前击杀它以夺回余烬;<size=100%><style="Yellow">- 小偷 -</style><br><size=80%>這種動物目的不一樣。它不會傷害你，而是會<style="Orange">偷取</style><style="LYellow">+100餘燼</style>。你可以在它離開視野前擊殺它以奪回餘燼
<size=100%><style="Yellow">- Stink Spray -</style><br><size=80%>Attacks will <style="Blue">stun</style> the campfire for 0.75s. <style="Blue">Stun</style> effects override eachother instead of stacking.;<size=100%><style="Yellow">- Spray Fedorento -</style><br><size=80%>Ataques irão <style="Blue">atordoar</style> a lareira por 0.75 segundos. Efeitos de <style="Blue">Atordoamento</style> substituem-se em vez de se acumularem.</style>;<size=100%><style="Yellow">- 臭气喷射 -</style><br><size=80%> 攻击会使营火 <style="Blue"> 眩晕</style> 0.75 秒。<style="Blue"> 眩晕</style> 效果会覆盖而不会叠加;<size=100%><style="Yellow">- 臭氣噴射 -</style><br><size=80%> 攻擊會使營火 <style="Blue"> 眩暈</style> 0.75 秒。<style="Blue"> 眩暈</style> 效果會覆蓋而不會疊加
<size=100%><style="Yellow">- Charge -</style><br><size=80%>Begins the round by <style="Orange">charging</style> a powerfull first attack that deal <style="Red">2x damage</style>;<size=100%><style="Yellow">- Investida -</style><br><size=80%>Começa a ronda <style="Orange">carregando</style> um poderoso primeiro ataque que causa <style="Red">2x dano.</style>;<size=100%><style="Yellow">- 蓄力冲锋 -</style><br><size=80%> 在回合开始时通过 <style="Orange">蓄力</style> 发动一次强力的首次攻击，造成 <style="Red">2x 伤害</style>;<size=100%><style="Yellow">- 蓄力衝鋒 -</style><br><size=80%> 在回合開始時通過 <style="Orange">蓄力</style> 發動一次強力的首次攻擊，造成 <style="Red">2x 傷害</style>
<size=100%><style="Yellow">- Ranged -</style><br><size=80%>Has increased <style="LYellow">range</style> and is able to damage you from afar;<size=100%><style="Yellow">- À Distância -</style><br><size=80%>Este animal tem <style="LYellow">alcance</style> aumentado e é capaz de infligir dano à distância.</style>;<size=100%><style="Yellow">- 远程攻击 -</style><br><size=80%> 拥有更远的 <style="LYellow"> 射程</style>，能够从远处对你造成伤害;<size=100%><style="Yellow">- 遠程攻擊 -</style><br><size=80%> 擁有更遠的 <style="LYellow"> 射程</style>，能夠從遠處對你造成傷害
<size=100%><style="Yellow">- Wolf Pack -</style><br><size=80%>For each 4 wolves in the campsite, 1 will be considered the <style="Yellow">Alpha.</style> If the <style="Yellow">Alpha</style> dies and there aren't enough on the field, the role will be transfered to other wolves;<size=100%><style="Yellow">- Matilha -</style><br><size=80%>Para cada 4 lobos no parque, 1 será considerado o <style="Yellow">Alfa.</style> Se o <style="Yellow">Alfa</style> morrer e não houverem lobos suficientes no campo, o papel será transferido para outros lobos.</style>;<size=100%><style="Yellow">- 狼群 -</style><br><size=80%> 营地中每有 4 只狼，就会有 1 只被视为 <style="Yellow"> 头狼</style>。如果 <style="Yellow"> 头狼</style> 死亡且场上数量不足，这个角色会转移到其他狼身上;<size=100%><style="Yellow">- 狼群 -</style><br><size=80%> 營地中每有 4 隻狼，就會有 1 隻被視為 <style="Yellow"> 頭狼</style>。如果 <style="Yellow"> 頭狼</style> 死亡且場上數量不足，這個角色會轉移到其他狼身上
<size=100%><style="Yellow">- Alpha -</style><br><size=80%>When an <style="Yellow">Alpha</style> howls, it <style="Orange">taunts</style> the campfire and <style="Orange">activates</style> nearby wolves. <style="Orange">Activated</style> wolves gain <style="LBlue">x2.5 movement speed,</style> <style="Red">+0.25 Armor Penetration</style> and <style="Red">+50 Dmg;<size=100%><style="Yellow">- Alfa -</style><br><size=80%>Quando um <style="Yellow">Alfa</style> uiva, ele <style="Orange">provoca</style> a lareira e <style="Orange">ativa</style> lobos próximos. Lobos <style="Orange">ativados</style> ganham <style="LBlue">x2.5 velocidade,</style> <style="Red">+0.25 Penetração de Armadura</style> e <style="Red">+50 Dano.</style>;<size=100%><style="Yellow">- 头狼 -</style><br><size=80%> 当头狼嚎叫时，它会 <style="Orange"> 嘲讽</style> 营火并 <style="Orange"> 唤醒</style> 附近的狼。被 <style="Orange"> 唤醒</style> 的狼会获得 <style="LBlue">2.5 倍移动速度</style>、<style="Red">+0.25 的护甲穿透</style> 以及 <style="Red">+50 点伤害</style>;<size=100%><style="Yellow">- 頭狼 -</style><br><size=80%> 當頭狼嚎叫時，它會 <style="Orange"> 嘲諷</style> 營火併 <style="Orange"> 喚醒</style> 附近的狼。被 <style="Orange"> 喚醒</style> 的狼會獲得 <style="LBlue">2.5 倍移動速度</style>、<style="Red">+0.25 的護甲穿透</style> 以及 <style="Red">+50 點傷害</style>
<size=100%><style="Yellow">- Honey Pot -</style><br><size=80%>Whenever it gets below half <style="Green">Max HP</style> it starts to consume <style="Brown">Honey.</style> Each scoop of <style="Brown">Honey</style> heals for <style="Green">+1000HP.</style> It only stops consuming once its <style="Green">Full Health</style> or it dies;<size=100%><style="Yellow">- Pote de Mel -</style><br><size=80%>Sempre que a sua <style="Green">Vida Máxima</style> fica abaixo de metade, consumirá <style="Brown">Mel.</style> Cada mão de <style="Brown">Mel</style> curará <style="Green">+1000 Vida.</style> O consumo só parará quando estiver com a <style="Green">Vida Cheia</style> ou morrer.</style>;<size=100%><style="Yellow">- 蜜罐 -</style><br><size=80%> 每当它的 <style="Green"> 最大生命值</style> 降至一半以下时，它就会开始食用 <style="Brown">蜂蜜</style>。每一勺 <style="Brown">蜂蜜</style> 可以恢复 <style="Green">+1000 点生命值</style>。它只会在 <style="Green">满血</style> 或者死亡时才停止进食;<size=100%><style="Yellow">- 蜜罐 -</style><br><size=80%> 每當它的 <style="Green"> 最大生命值</style> 降至一半以下時，它就會開始食用 <style="Brown">蜂蜜</style>。每一勺 <style="Brown">蜂蜜</style> 可以恢復 <style="Green">+1000 點生命值</style>。它只會在 <style="Green">滿血</style> 或者死亡時才停止進食
<size=100%><style="Yellow">- Stray -</style><br><size=80%>Stray wolves are used to living alone and are always <style="Orange">activated</style>;<size=100%><style="Yellow">- Errante -</style><br><size=80%>Lobos vadios estão acostumados a viver sozinhos e estão sempre <style="Orange">ativados.</style>;<size=100%><style="Yellow">- 孤狼 -</style><br><size=80%> 孤狼习惯独自生活，并且始终处于 <style="Orange">唤醒</style> 状态。;<size=100%><style="Yellow">- 孤狼 -</style><br><size=80%> 孤狼習慣獨自生活，並且始終處於 <style="Orange">喚醒</style> 狀態。
<size=100%><style="Yellow">- Stunning Bite -</style><br><size=80%>Attacks <style="Blue">stun</style> the campfire for 0.75 seconds. <style="Blue">Stun</style> effects override eachother instead of stacking;<size=100%><style="Yellow">- Mordida Atordoante -</style><br><size=80%>Ataques <style="Blue">atordoam</style> a lareira por 0.75 segundos. Efeitos de <style="Blue">Atordoamento</style> substituem-se em vez de se acumularem.</style>;<size=100%><style="Yellow">- 致晕撕咬 -</style><br><size=80%> 攻击会使营火 <style="Blue"> 眩晕</style> 0.75 秒。<style="Blue"> 眩晕</style> 效果会相互覆盖而不是叠加。;<size=100%><style="Yellow">- 致暈撕咬 -</style><br><size=80%> 攻擊會使營火 <style="Blue"> 眩暈</style> 0.75 秒。<style="Blue"> 眩暈</style> 效果會相互覆蓋而不是疊加。
<size=100%><style="Yellow">- Charge -</style><br><size=80%>Begins the round by <style="Orange">charging</style> a powerful first attack. Each charge increases the first attack's power by <style="Red">+25 damage;<size=100%><style="Yellow">- Investida -</style><br><size=80%>Começa a ronda <style="Orange">carregando</style> um poderoso primeiro ataque. Cada carga aumenta o poder do primeiro ataque em <style="Red">+25 dano.</style>;<size=100%><style="Yellow">- 蓄力冲锋 -</style><br><size=80%> 在回合开始时通过 <style="Orange"> 蓄力</style> 发动一次强力的首次攻击。每次蓄力会使首次攻击的威力增加 <style="Red">+25 点伤害</style>。;<size=100%><style="Yellow">- 蓄力衝鋒 -</style><br><size=80%> 在回合開始時通過 <style="Orange"> 蓄力</style> 發動一次強力的首次攻擊。每次蓄力會使首次攻擊的威力增加 <style="Red">+25 點傷害</style>。
<size=100%><style="Yellow">- Caretaker -</style><br><size=80%>Heals nearby animals 7 times for <style="Green">+100HP</style> every time it <style="Orange">howls</style>. This doesn't apply to itself or other animals of the same species;<size=100%><style="Yellow">- Zelador -</style><br><size=80%>Cura animais próximos 7 vezes por <style="Green">+100 Vida</style> sempre que <style="Orange">uiva.</style> Isto não se aplica a si próprio ou a outros animais da mesma espécie.</style>;<size=100%><style="Yellow">- 照料者 -</style><br><size=80%> 每当它 <style="Orange"> 嚎叫</style> 时，会为附近的动物治疗 7 次，每次恢复 <style="Green">+100 点生命值</style>。这不适用于它自己或其他同种类的动物。;<size=100%><style="Yellow">- 照料者 -</style><br><size=80%> 每當它 <style="Orange"> 嚎叫</style> 時，會為附近的動物治療 7 次，每次恢復 <style="Green">+100 點生命值</style>。這不適用於它自己或其他同種類的動物。
<size=100%><style="Yellow">- Protector -</style><br><size=80%>Protects nearby animals 7 times with <style="Grey">+100 Armor</style> every time it <style="Orange">howls</style>. This doesn't apply to itself or other animals of the same species;<size=100%><style="Yellow">- Protetor -</style><br><size=80%>Protege animais próximos 7 vezes com <style="Grey">+100 Armadura</style> sempre que <style="Orange">uiva.</style> Isto não se aplica a si próprio ou a outros animais da mesma espécie.</style>;<size=100%><style="Yellow">- 保护者 -</style><br><size=80%> 每当它 <style="Orange"> 嚎叫</style> 时，会为附近的动物提供 7 次 <style="Grey">+100 点护甲</style> 的保护。这不适用于它自己或其他同种类的动物。;<size=100%><style="Yellow">- 保護者 -</style><br><size=80%> 每當它 <style="Orange"> 嚎叫</style> 時，會為附近的動物提供 7 次 <style="Grey">+100 點護甲</style> 的保護。這不適用於它自己或其他同種類的動物。
<size=100%><style="Yellow">- Poison -</style><br><size=80%>Attacks apply <style="Purple">8 Poison Ticks.</style> Each <style="Purple">Poison Tick</style> deals 1:50 of <style="Green">current Health.</style> <style="Purple">Poison Ticks</style> are stackable and are cleared once the round ends;<size=100%><style="Yellow">- Veneno -</style><br><size=80%>Ataques aplicam <style="Purple">8 Pontos de Veneno.</style> Cada <style="Purple">Ponto de Veneno</style> causa 1/25 da <style="Green">Vida Máxima.</style> <style="Purple">Pontos de Veneno</style> são acumuláveis e removidos no final da ronda.;<size=100%><style="Yellow">- 中毒 -</style><br><size=80%> 攻击会施加 <style="Purple">8 层中毒效果</style>。每层 <style="Purple"> 中毒效果</style> 会造成当前 <style="Green"> 生命值</style> 的 1:50 的伤害。<style="Purple"> 中毒效果</style> 可以叠加，并且在回合结束时清除。;<size=100%><style="Yellow">- 中毒 -</style><br><size=80%> 攻擊會施加 <style="Purple">8 層中毒效果</style>。每層 <style="Purple"> 中毒效果</style> 會造成當前 <style="Green"> 生命值</style> 的 1:50 的傷害。<style="Purple"> 中毒效果</style> 可以疊加，並且在回合結束時清除。
<size=100%><style="Yellow">- Flying -</style><br><size=80%>Starts the round by <style="Orange">flying</style> from trees, landing somewhere in the middle of the campsite. While flying, it is <style="Blue">untargetable</style> and <style="Blue">immune</style>;<size=100%><style="Yellow">- Voar -</style><br><size=80%>Começa a ronda <style="Orange">voando</style> das árvores e pousando em algum lugar no meio do parque. Enquanto voa, é <style="Blue">inatingível</style> e <style="Blue">imune</style>.;<size=100%><style="Yellow">- 飞行 -</style><br><size=80%> 在回合开始时从树上 <style="Orange"> 飞起</style>，降落在营地中间的某个位置。飞行时，它 <style="Blue"> 无法被选定</style> 且 <style="Blue"> 免疫</style> 伤害。;<size=100%><style="Yellow">- 飛行 -</style><br><size=80%> 在回合開始時從樹上 <style="Orange"> 飛起</style>，降落在營地中間的某個位置。飛行時，它 <style="Blue"> 無法被選定</style> 且 <style="Blue"> 免疫</style> 傷害。
<size=100%><style="Yellow">- Dam Builder -</style><br><size=80%>Instead of trying to damage you, it will <style="Orange">steal</style> your <style="Brown">logs,</style> taking away <style="Green">-100 Max Health.</style> You can recover them by killing it before it gets out of sight;<size=100%><style="Yellow">- Construtor de Barragens -</style><br><size=80%>Em vez de tentar causar dano, ele irá <style="Orange">roubar</style> <style="Brown">troncos,</style> retirando <style="Green">-100 de Vida Máxima.</style> Se for morto antes de sair de vista, a vida roubada será parcialmente recuperada</style>;<size=100%><style="Yellow">- 水坝建造者 -</style><br><size=80%> 它不会伤害你，而是会 <style="Orange"> 偷走</style> 你的 <style="Brown"> 原木</style>，使你的 <style="Green"> 最大生命值减少 100 点</style>。你可以在它脱离视线范围前将其杀死来夺回原木。;<size=100%><style="Yellow">- 水壩建造者 -</style><br><size=80%> 它不會傷害你，而是會 <style="Orange"> 偷走</style> 你的 <style="Brown"> 原木</style>，使你的 <style="Green"> 最大生命值減少 100 點</style>。你可以在它脫離視線範圍前將其殺死來奪回原木。
<size=100%><style="Yellow">- Roll -</style><br><size=80%>This animal begins the round by <style="Orange">rolling,</style> gaining <style="LBlue">x2.5 speed</style>, <style="Grey">+1000 armor </style> and becoming <style="Yellow">Unhittable.</style> It will unroll after denying 10 <style="Pink">On-Hit Effects;<size=100%><style="Yellow">- Rolar -</style><br><size=80%>Este animal começa a ronda <style="Orange">rolando,</style> ganhando <style="LBlue">x2.5 velocidade</style>, <style="Grey">+1000 armadura</style> e tornando-se <style="Yellow">Inatingível.</style> Ele irá desenrolar-se após negar 10 <style="Pink">Efeitos de Contacto.;<size=100%><style="Yellow">- 翻滚 -</style><br><size=80%> 这种动物在回合开始时进行 <style="Orange"> 翻滚</style>，获得 <style="LBlue">2.5 倍速度</style>、<style="Grey">+1000 点护甲</style> 并且变得 <style="Yellow"> 无法被击中</style>。在抵挡了 10 次 <style="Pink"> 命中效果</style> 后，它会停止翻滚。;<size=100%><style="Yellow">- 翻滾 -</style><br><size=80%> 這種動物在回合開始時進行 <style="Orange"> 翻滾</style>，獲得 <style="LBlue">2.5 倍速度</style>、<style="Grey">+1000 點護甲</style> 並且變得 <style="Yellow"> 無法被擊中</style>。在抵擋了 10 次 <style="Pink"> 命中效果</style> 後，它會停止翻滾。
#;;;
#;;;
#=========================== QUESTS ===========================#;;;
Wildlife Observer III;Observador da Natureza III;野生动物观察者 III;野生動物觀察者 III
Observe 10 different species more than 500 times each;Observa 500 indivíduos de 10 espécies diferentes;观察 10 种不同的物种，且每种观察次数超过 500 次;觀察 10 種不同的物種，且每種觀察次數超過 500 次
All about Bees;Tudo sobre abelhas;蜜蜂全知道;蜜蜂全知道
Unlock all Animals in the Bestiary;Desbloqueia todos os animais do Bestiário;解锁图鉴中的所有动物;解鎖圖鑑中的所有動物
Wildlife Observer I;Observador da Natureza I;野生动物观察者 I;野生動物觀察者 I
Observe 5 different species in the Campsite;Observa 5 espécies diferentes no parque;在营地中观察 5 种不同的物种;在營地中觀察 5 種不同的物種
Wildlife Observer II;Observador da Natureza II;野生动物观察者 II;野生動物觀察者 II
Observe 5 different species more than 100 times each;Observa 100 indivíduos de 5 espécies diferentes;观察 5 种不同的物种，且每种观察次数超过 100 次;觀察 5 種不同的物種，且每種觀察次數超過 100 次
Fashion and Behaviour;Moda e Comportamento;时尚与习性;時尚與習性
Listen to what Cloris has to say and style the campfire;Ouve o que a Cloris tem para dizer e estiliza a lareira;听取克洛里斯的建议并为营火进行装饰;聽取克洛里斯的建議並為營火進行裝飾
Wildlife Observer IV;Observador da Natureza IV;野生动物观察者 IV;野生動物觀察者 IV
Observe 15 different species more than 2500 times each;Observa 2500 indivíduos de 15 espécies diferentes;观察 15 种不同的物种，且每种观察次数超过 2500 次;觀察 15 種不同的物種，且每種觀察次數超過 2500 次
Wildlife Observer V;Observador da Natureza V;野生动物观察者 V;野生動物觀察者 V
Observe 20 different species more than 10.000 times each;Observa 10.000 indivíduos de 20 espécies diferentes;观察 20 种不同的物种，且每种观察次数超过 10000 次;觀察 20 種不同的物種，且每種觀察次數超過 10000 次
Impressing the Investors;Impressionando os Investidores;打动投资者;打動投資者
Collect 250K Embers;Poupa 250K Brasas;收集 25 万枚余烬;收集 25 萬枚餘燼
Impressing Gyomyo;Impressionando Gyomyo;打动乔米奥;打動喬米奧
Make a profit of +1M Embers from a single bet in Gyomyo's Casino;Obtém um lucro de mais de +1M Brasas numa única aposta no Casino do Gyomyo;在鱼夫娱乐场单次下注盈利超过 100 万枚余烬;在魚夫娛樂場單次下注盈利超過 100 萬枚餘燼
Fully Upgraded;Completamente Melhorado;全面升级;全面升級
Unlock every skill in Rowl's Skill Tree;Desbloqueia todas as habilidades na Árvore de Habilidades do Rowl;解锁罗尔技能树中的所有技能;解鎖羅爾技能樹中的所有技能
Legend of the Necromancer;A Lenda do Necromante;亡灵巫师的传说;亡靈巫師的傳說
<i>"When 25 Ghouls stand tall in sight, King Ghoul shall join the fight"</i>;<i>"Quando 25 Espíritos se erguerem à vista, o Rei dos Espíritos se juntará à conquista"</i>";<i>“当 25 只食尸鬼现身，食尸鬼之王将加入战斗”</i>;<i>“當 25 隻食屍鬼現身，食屍鬼之王將加入戰鬥”</i>
The Ancient Ritual;O Ritual Ancião;古老仪式;古老儀式
